customer_id,churn,churn_date,tenure_days,is_active
CUST_0000001,1,2023-11-08,0,0
CUST_0000002,1,2023-12-17,0,0
CUST_0000003,1,2023-09-02,0,0
CUST_0000004,1,2022-12-04,0,0
CUST_0000005,1,2022-09-03,0,0
CUST_0000006,1,2023-07-12,0,0
CUST_0000007,1,2022-07-23,0,0
CUST_0000008,1,2024-06-23,0,0
CUST_0000009,1,2025-05-01,0,0
CUST_0000010,1,2025-10-14,0,0
CUST_0000011,1,2023-11-05,0,0
CUST_0000012,1,2024-01-06,0,0
CUST_0000013,1,2025-07-02,1,0
CUST_0000014,1,2022-10-11,0,0
CUST_0000015,1,2022-08-06,0,0
CUST_0000016,1,2023-07-27,0,0
CUST_0000017,1,2022-07-01,0,0
CUST_0000018,1,2024-08-31,0,0
CUST_0000019,1,2024-07-29,0,0
CUST_0000020,1,2025-05-31,0,0
CUST_0000021,1,2022-07-27,0,0
CUST_0000022,1,2023-02-27,0,0
CUST_0000023,1,2025-04-08,0,0
CUST_0000024,1,2022-05-19,0,0
CUST_0000025,1,2022-07-22,0,0
CUST_0000026,1,2022-09-12,1,0
CUST_0000027,1,2025-04-05,1,0
CUST_0000028,1,2023-07-23,0,0
CUST_0000029,1,2025-12-10,20,0
CUST_0000030,1,2023-03-02,0,0
CUST_0000031,1,2025-03-06,0,0
CUST_0000032,1,2025-11-30,0,0
CUST_0000033,1,2024-07-22,0,0
CUST_0000034,1,2024-08-26,0,0
CUST_0000035,1,2024-02-01,0,0
CUST_0000036,1,2023-07-23,0,0
CUST_0000037,1,2023-08-02,0,0
CUST_0000038,1,2022-08-19,0,0
CUST_0000039,1,2024-09-22,1,0
CUST_0000040,1,2025-06-24,3,0
CUST_0000041,1,2022-10-14,1,0
CUST_0000042,1,2024-07-10,0,0
CUST_0000043,1,2022-02-23,0,0
CUST_0000044,1,2024-02-29,0,0
CUST_0000045,1,2025-11-21,5,0
CUST_0000046,1,2023-08-02,1,0
CUST_0000047,1,2025-07-17,0,0
CUST_0000048,1,2023-01-24,0,0
CUST_0000049,1,2024-11-02,0,0
CUST_0000050,1,2022-12-09,0,0
CUST_0000051,1,2022-12-05,0,0
CUST_0000052,1,2022-01-24,0,0
CUST_0000053,1,2024-11-24,0,0
CUST_0000054,1,2023-08-09,0,0
CUST_0000055,1,2023-02-26,0,0
CUST_0000056,1,2025-08-06,0,0
CUST_0000057,1,2025-08-06,0,0
CUST_0000058,1,2024-11-09,1,0
CUST_0000059,1,2025-08-08,0,0
CUST_0000060,1,2023-01-14,1,0
CUST_0000061,1,2025-03-23,0,0
CUST_0000062,1,2022-05-08,0,0
CUST_0000063,1,2023-03-09,0,0
CUST_0000064,1,2024-02-16,0,0
CUST_0000065,1,2024-03-24,0,0
CUST_0000066,1,2025-07-18,1,0
CUST_0000067,1,2023-05-30,0,0
CUST_0000068,1,2025-07-07,2,0
CUST_0000069,1,2025-09-27,0,0
CUST_0000070,1,2023-05-17,0,0
CUST_0000071,1,2024-09-15,0,0
CUST_0000072,1,2023-02-21,0,0
CUST_0000073,1,2022-04-10,0,0
CUST_0000074,1,2026-01-01,44,0
CUST_0000075,1,2024-05-28,0,0
CUST_0000076,1,2024-12-12,0,0
CUST_0000077,1,2023-03-04,0,0
CUST_0000078,1,2023-11-09,0,0
CUST_0000079,1,2022-05-29,0,0
CUST_0000080,1,2023-11-06,0,0
CUST_0000081,1,2023-03-27,0,0
CUST_0000082,1,2023-06-18,0,0
CUST_0000083,1,2023-06-16,0,0
CUST_0000084,1,2024-05-19,2,0
CUST_0000085,1,2023-12-24,0,0
CUST_0000086,1,2025-10-21,0,0
CUST_0000087,1,2025-09-09,0,0
CUST_0000088,1,2024-05-13,0,0
CUST_0000089,1,2024-03-29,0,0
CUST_0000090,1,2022-09-03,0,0
CUST_0000091,1,2022-06-03,0,0
CUST_0000092,1,2022-09-03,0,0
CUST_0000093,1,2024-03-25,0,0
CUST_0000094,1,2024-12-02,0,0
CUST_0000095,1,2023-01-28,0,0
CUST_0000096,1,2022-06-12,0,0
CUST_0000097,1,2023-04-12,1,0
CUST_0000098,1,2023-05-27,0,0
CUST_0000099,1,2025-03-16,0,0
CUST_0000100,1,2024-04-27,0,0
CUST_0000101,1,2025-03-25,0,0
CUST_0000102,1,2023-05-30,0,0
CUST_0000103,1,2022-05-26,0,0
CUST_0000104,1,2025-07-16,0,0
CUST_0000105,1,2025-06-21,0,0
CUST_0000106,1,2022-10-23,0,0
CUST_0000107,1,2024-03-17,0,0
CUST_0000108,1,2022-11-12,2,0
CUST_0000109,1,2023-07-23,0,0
CUST_0000110,1,2022-10-07,0,0
CUST_0000111,1,2023-04-22,0,0
CUST_0000112,1,2025-02-16,0,0
CUST_0000113,1,2023-06-18,0,0
CUST_0000114,1,2023-04-19,0,0
CUST_0000115,1,2022-07-31,0,0
CUST_0000116,1,2023-12-29,0,0
CUST_0000117,1,2023-08-11,0,0
CUST_0000118,1,2025-04-04,0,0
CUST_0000119,1,2023-04-26,1,0
CUST_0000120,1,2025-11-07,0,0
CUST_0000121,1,2022-03-02,0,0
CUST_0000122,1,2025-07-27,1,0
CUST_0000123,1,2024-02-11,0,0
CUST_0000124,1,2023-08-11,0,0
CUST_0000125,1,2022-07-28,0,0
CUST_0000126,1,2022-02-06,0,0
CUST_0000127,1,2023-08-28,0,0
CUST_0000128,1,2025-03-04,1,0
CUST_0000129,1,2023-02-16,0,0
CUST_0000130,1,2023-10-10,0,0
CUST_0000131,1,2024-01-05,0,0
CUST_0000132,1,2025-03-17,0,0
CUST_0000133,1,2024-06-30,0,0
CUST_0000134,1,2025-11-22,1,0
CUST_0000135,1,2025-06-29,0,0
CUST_0000136,1,2023-05-22,0,0
CUST_0000137,1,2025-06-21,0,0
CUST_0000138,1,2024-04-09,0,0
CUST_0000139,1,2024-08-30,0,0
CUST_0000140,1,2025-11-01,10,0
CUST_0000141,1,2023-03-26,0,0
CUST_0000142,1,2022-05-01,1,0
CUST_0000143,1,2025-08-25,0,0
CUST_0000144,1,2023-09-26,0,0
CUST_0000145,1,2022-07-31,0,0
CUST_0000146,1,2022-10-11,0,0
CUST_0000147,1,2025-07-02,1,0
CUST_0000148,1,2025-07-10,0,0
CUST_0000149,1,2022-10-06,2,0
CUST_0000150,1,2024-11-30,0,0
CUST_0000151,1,2024-08-26,0,0
CUST_0000152,1,2025-10-20,1,0
CUST_0000153,1,2024-06-24,0,0
CUST_0000154,1,2023-06-28,1,0
CUST_0000155,1,2023-04-07,1,0
CUST_0000156,1,2023-03-29,0,0
CUST_0000157,1,2025-08-31,0,0
CUST_0000158,1,2022-12-27,1,0
CUST_0000159,1,2025-06-11,0,0
CUST_0000160,1,2024-07-23,1,0
CUST_0000161,1,2024-12-02,0,0
CUST_0000162,1,2025-06-05,0,0
CUST_0000163,1,2023-10-08,0,0
CUST_0000164,1,2025-09-18,0,0
CUST_0000165,1,2023-10-31,0,0
CUST_0000166,1,2022-07-25,0,0
CUST_0000167,1,2022-03-30,0,0
CUST_0000168,1,2024-07-24,0,0
CUST_0000169,1,2025-01-27,0,0
CUST_0000170,1,2024-11-26,0,0
CUST_0000171,1,2023-01-09,0,0
CUST_0000172,0,,49,1
CUST_0000173,1,2023-01-27,0,0
CUST_0000174,1,2023-12-12,0,0
CUST_0000175,1,2024-09-20,0,0
CUST_0000176,0,,84,1
CUST_0000177,1,2022-02-24,0,0
CUST_0000178,1,2024-08-01,0,0
CUST_0000179,1,2024-01-25,0,0
CUST_0000180,1,2023-08-09,0,0
CUST_0000181,1,2022-11-10,0,0
CUST_0000182,1,2025-02-01,0,0
CUST_0000183,1,2022-01-16,0,0
CUST_0000184,0,,31,1
CUST_0000185,1,2022-01-29,0,0
CUST_0000186,1,2024-02-15,0,0
CUST_0000187,1,2022-12-22,0,0
CUST_0000188,1,2025-11-06,3,0
CUST_0000189,1,2023-11-26,0,0
CUST_0000190,1,2023-07-18,0,0
CUST_0000191,1,2023-05-26,0,0
CUST_0000192,1,2022-12-13,0,0
CUST_0000193,1,2024-04-24,0,0
CUST_0000194,1,2024-07-10,0,0
CUST_0000195,1,2022-01-25,0,0
CUST_0000196,1,2022-04-02,0,0
CUST_0000197,1,2022-11-25,0,0
CUST_0000198,1,2024-08-29,0,0
CUST_0000199,1,2023-08-25,0,0
CUST_0000200,1,2022-12-08,0,0
CUST_0000201,1,2024-06-15,0,0
CUST_0000202,1,2023-01-31,0,0
CUST_0000203,1,2023-06-26,0,0
CUST_0000204,1,2023-06-10,0,0
CUST_0000205,1,2025-12-01,0,0
CUST_0000206,1,2025-02-27,0,0
CUST_0000207,1,2025-02-28,0,0
CUST_0000208,1,2025-03-18,0,0
CUST_0000209,1,2025-07-23,0,0
CUST_0000210,1,2025-05-04,0,0
CUST_0000211,1,2023-02-13,0,0
CUST_0000212,1,2024-06-02,1,0
CUST_0000213,1,2022-03-12,0,0
CUST_0000214,1,2025-05-07,0,0
