customer_id,bill_month,amount_due,amount_paid,late_payment
CUST_000001,2024-01-01,9.99,9.99,0
CUST_000001,2024-02-01,9.99,9.99,0
CUST_000001,2024-03-01,9.99,9.99,0
CUST_000001,2024-04-01,9.99,5.0,1
CUST_000001,2024-05-01,9.99,9.99,0
CUST_000001,2024-06-01,9.99,9.99,0
CUST_000001,2024-07-01,9.99,9.99,0
CUST_000001,2024-08-01,9.99,9.99,0
CUST_000001,2024-09-01,9.99,9.99,0
CUST_000001,2024-10-01,9.99,9.99,0
CUST_000001,2024-11-01,9.99,9.99,0
CUST_000001,2024-12-01,9.99,9.99,0
CUST_000002,2024-01-01,19.99,19.99,0
CUST_000002,2024-02-01,19.99,19.99,0
CUST_000002,2024-03-01,19.99,19.99,0
CUST_000002,2024-04-01,19.99,19.99,1
CUST_000002,2024-05-01,19.99,19.99,0
CUST_000002,2024-06-01,19.99,19.99,0
CUST_000002,2024-07-01,19.99,19.99,0
CUST_000002,2024-08-01,19.99,19.99,0
CUST_000002,2024-09-01,19.99,19.99,0
CUST_000002,2024-10-01,19.99,19.99,0
CUST_000002,2024-11-01,19.99,19.99,0
CUST_000002,2024-12-01,19.99,19.99,0
CUST_000003,2024-01-01,15.49,15.49,0
CUST_000003,2024-02-01,15.49,15.49,0
CUST_000003,2024-03-01,15.49,15.49,0
CUST_000003,2024-04-01,15.49,15.49,0
CUST_000003,2024-05-01,15.49,15.49,0
CUST_000003,2024-06-01,15.49,0.0,1
CUST_000003,2024-07-01,15.49,15.49,0
CUST_000003,2024-08-01,15.49,15.49,0
CUST_000003,2024-09-01,15.49,15.49,0
CUST_000003,2024-10-01,15.49,15.49,0
CUST_000003,2024-11-01,15.49,15.49,0
CUST_000003,2024-12-01,15.49,15.49,0
CUST_000004,2024-01-01,15.49,15.49,0
CUST_000004,2024-02-01,15.49,15.49,0
CUST_000004,2024-03-01,15.49,15.49,0
CUST_000004,2024-04-01,15.49,15.49,0
CUST_000004,2024-05-01,15.49,15.49,0
CUST_000004,2024-06-01,15.49,15.49,0
CUST_000004,2024-07-01,15.49,15.49,0
CUST_000004,2024-08-01,15.49,15.49,0
CUST_000004,2024-09-01,15.49,15.49,0
CUST_000004,2024-10-01,15.49,15.49,0
CUST_000004,2024-11-01,15.49,15.49,0
CUST_000004,2024-12-01,15.49,15.49,0
CUST_000005,2024-01-01,19.99,19.99,0
CUST_000005,2024-02-01,19.99,19.99,0
CUST_000005,2024-03-01,19.99,19.99,0
CUST_000005,2024-04-01,19.99,19.99,0
CUST_000005,2024-05-01,19.99,19.99,0
CUST_000005,2024-06-01,19.99,19.99,0
CUST_000005,2024-07-01,19.99,19.99,0
CUST_000005,2024-08-01,19.99,19.99,0
CUST_000005,2024-09-01,19.99,19.99,0
CUST_000005,2024-10-01,19.99,19.99,0
CUST_000005,2024-11-01,19.99,19.99,0
CUST_000005,2024-12-01,19.99,19.99,0
CUST_000006,2024-01-01,9.99,9.99,0
CUST_000006,2024-02-01,9.99,9.99,0
CUST_000006,2024-03-01,9.99,9.99,0
CUST_000006,2024-04-01,9.99,9.99,0
CUST_000006,2024-05-01,9.99,9.99,0
CUST_000006,2024-06-01,9.99,9.99,0
CUST_000006,2024-07-01,9.99,9.99,1
CUST_000006,2024-08-01,9.99,9.99,0
CUST_000006,2024-09-01,9.99,9.99,0
CUST_000006,2024-10-01,9.99,9.99,0
CUST_000006,2024-11-01,9.99,9.99,0
CUST_000006,2024-12-01,9.99,9.99,0
CUST_000007,2024-01-01,9.99,9.99,0
CUST_000007,2024-02-01,9.99,9.99,0
CUST_000007,2024-03-01,9.99,9.99,0
CUST_000007,2024-04-01,9.99,9.99,0
CUST_000007,2024-05-01,9.99,9.99,0
CUST_000007,2024-06-01,9.99,9.99,0
CUST_000007,2024-07-01,9.99,9.99,0
CUST_000007,2024-08-01,9.99,0.0,1
CUST_000007,2024-09-01,9.99,9.99,0
CUST_000007,2024-10-01,9.99,9.99,0
